STATION,NAME,DATE,PRCP,TMAX,TMIN
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-06-15,0,83,67
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-06-16,0.39,77,66
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-06-17,0,95,71
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-06-18,0,78,60
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-06-19,0,78,56
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-06-20,0,83,58
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-06-21,0.05,82,62
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-06-22,0.07,71,64
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-06-23,0,76,65
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-06-24,0,88,66
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-06-25,0,96,67
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-06-26,0,94,72
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-06-27,0.29,81,71
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-06-28,0,84,69
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-06-29,0,90,64
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-06-30,0,92,68
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-07-01,0,99,71
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-07-02,0,96,79
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-07-03,0,93,77
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-07-04,0,91,64
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-07-05,0.04,91,71
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-07-06,0,91,77
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-07-07,0,84,71
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-07-08,0.12,91,70
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-07-09,0,89,74
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-07-10,0,85,67
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-07-11,0,88,66
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-07-12,0,98,70
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-07-13,0,96,76
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-07-14,0,94,73
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-07-15,0,86,73
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-07-16,0.09,83,72
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-07-17,0.06,85,70
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-07-18,0.07,93,74
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-07-19,0,94,74
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-07-20,0,100,74
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-07-21,0.01,100,78
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-07-22,0,100,79
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-07-23,0,101,78
